Respondent #, Provided End of Life Care (EOLC),Been in Combat Situations, Worked with Cadavers,Q1. Do you feel prepared to provide end of life care to this dying Soldier?,Q3. Do you feel prepared to handle more than 10 situations like Soldier each day over a sustained period?,S1 Q4. Are you the same faith group as Soldier.  ,"S1 Q5. If not, do you feel comfortable providing end-of-life care, such as offering prayer outside your faith or performing last rites?","S1 Q2. When SPC Smith asks you if he is going to die, will you tell him yes?","S2 Q2. In his dying moments, SGT Tanner asks you if Jimmy, his team leader, is okay. Will you tell him that Jimmy is dead?","S3 Q2. As the Soldier dies, the medic asks you to pray over the foreign Soldier. Will you pray for this foreign Soldier because the medic requested it?","S4 Q2. As CPT Mohamed dies, he asks you to pray over him. Will you pray for a Muslim Soldier per his request?",S2 Q4. Are you the same faith group as the Soldier?,"S2 Q5. If not, do you feel comfortable providing end-of-life care, such as offering prayer outside your faith or performing last rites?"
1,N,N,Y,1,1,Y,,1,1,1,1,N,1
2,Y,Y,N,2,2,N,2,0,0,2,3,N,3
3,Y,N,Y,2,2,Y,,-1,1,1,1,N,2
4,N,N,Y,3,0,Y,,2,-2,1,0,N,0
5,Y,N,Y,1,-2,Y,,0,-1,-1,3,N,0
6,Y,Y,Y,0,-1,Y,,0,0,1,1,N,1
7,Y,Y,N,1,1,Y,,2,-2,-2,-1,N,-1
8,N,Y,Y,1,0,N,2,-1,1,2,2,n,1
9,N,N,N,0,-1,Y,,-1,1,1,1,N,0
10,N,N,N,0,-1,N,1,-1,0,-1,1,N,1
11,Y,N,Y,1,0,Y,,0,0,2,2,N,-1
12,N,N,N,2,2,Y,,2,-2,0,1,N,-2
13,N,N,N,2,3,Y,,0,0,-1,1,N,0
14,Y,N,N,0,-1,Y,,0,0,1,1,N,1
15,Y,Y,Y,1,0,N,2,0,0,2,1,N,1
16,Y,N,Y,1,1,Y,,1,0,0,0,N,0
17,Y,N,Y,1,0,Y,,0,1,0,2,N,2
18,N,Y,Y,2,1,Y,,1,0,2,1,N,-2
19,Y,N,Y,0,1,N,1,2,1,0,1,N,1
20,N,Y,Y,-1,-2,Y,,0,0,0,2,N,1
21,N,N,Y,1,0,Y,,0,0,1,1,N,1
22,Y,Y,Y,2,-1,Y,,-1,-1,2,-1,N,-1
23,N,N,Y,0,-1,N,0,1,0,0,1,N,0
24,N,N,Y,-1,0,N,1,1,-1,0,2,N,1
25,N,N,N,2,1,Y,,1,0,1,1,N,-2
26,Y,Y,Y,2,-1,Y,,0,-2,1,1,N,1
27,N,N,Y,1,1,Y,,-1,-1,-1,2,N,1
28,Y,N,Y,2,1,Y,,-2,-2,1,0,N,1
29,N,N,N,1,0,Y,,0,0,0,1,N,-1
30,Y,N,Y,1,0,Y,,1,1,1,1,N,1
31,N,N,N,-2,0,N,2,-1,-2,-2,-2,N,-2
32,N,N,N,2,1,Y,,0,1,0,1,N,1
33,Y,N,N,0,1,N,1,0,-1,0,0,N,0
34,N,N,N,1,-1,N,0,-1,1,-1,0,N,0
35,N,N,N,0,-1,Y,,-1,-1,0,1,N,0
36,N,N,Y,2,0,Y,,-2,-2,1,2,N,0
37,N,Y,N,1,0,Y,,1,0,0,1,N,0
38,N,Y,N,-1,-1,N,2,1,1,0,2,N,2
39,N,N,N,2,0,Y,,-1,0,0,1,N,-1
40,Y,N,Y,2,2,Y,,1,-1,-1,0,N,0
41,N,Y,Y,-1,1,N,2,1,1,2,1,N,2
42,N,N,N,1,0,N,2,-1,-1,1,2,N,2
43,Y,Y,Y,1,1,Y,,1,1,2,1,N,-1
44,N,N,Y,1,0,Y,,0,0,-1,1,N,-1
45,N,Y,N,1,-2,Y,,-2,-1,0,2,N,1
46,Y,Y,Y,2,2,Y,,1,1,2,1,N,0
47,N,N,N,1,1,N,2,1,2,1,1,N,1
48,Y,N,N,2,2,Y,,2,2,-1,0,N,0
49,N,N,N,1,1,N,2,2,1,1,1,N,1
