Respondent #, Provided End of Life Care (EOLC),Been in Combat Situations, Worked with Cadavers,Are you a 56M or 56A,How many years have you been serving as a 56M/56A,Q1. Do you feel prepared to provide end of life care to this dying Soldier?,Q3. Do you feel prepared to handle more than 10 situations like Soldier each day over a sustained period?,S1 Q4. Are you the same faith group as Soldier.  ,"S1 Q5. If not, do you feel comfortable providing end-of-life care, such as offering prayer outside your faith or performing last rites?","S1 Q2. When SPC Smith asks you if he is going to die, will you tell him yes?","S2 Q2. In his dying moments, SGT Tanner asks you if Jimmy, his team leader, is okay. Will you tell him that Jimmy is dead?","S3 Q2. As the Soldier dies, the medic asks you to pray over the foreign Soldier. Will you pray for this foreign Soldier because the medic requested it?","S4 Q2. As CPT Mohamed dies, he asks you to pray over him. Will you pray a Muslim prayer per his request?",S2 Q4. Are you the same faith group as the Soldier?,"S2 Q5. If not, do you feel comfortable providing end-of-life care, such as offering prayer outside your faith or performing last rites?"
1,N,N,Y,56M,8,1,1,Y,-1,-1,-1,-1,-1,N,-1
2,Y,Y,Y,56A,17,2,1,Y,2,0,-2,2,0,N,2
3,Y,Y,Y,56M,25,2,2,N,2,-1,-1,2,2,N,1
4,Y,Y,Y,56A,5,1,1,Y,1,0,-1,1,0,N,1
5,Y,Y,Y,56A,4,1,0,Y,,1,0,1,2,N,2
6,N,N,N,DNA,DNA,1,1,N,1,-1,-1,1,1,N,1
7,N,N,Y,56M,4,1,-1,Y,0,0,-1,-1,0,N,0
8,Y,N,Y,56M,1,0,1,N,1,-2,-2,-1,1,N,1
9,N,N,Y,56M,1,1,-1,N,2,1,1,1,2,N,1
10,N,N,N,56M,11,-2,-2,Y,-2,1,1,0,0,N,-2
11,N,N,Y,56M,9,1,-1,Y,1,-2,-2,0,1,N,0
12,Y,Y,Y,56A,1,1,1,Y,,-1,-1,2,-2,N,-2
13,N,N,Y,56A,4,1,2,Y,,-2,-2,1,-1,N,1
14,N,N,Y,56A,6,2,1,Y,,0,0,1,-2,N,-2
15,Y,N,Y,56A,4,1,-1,N,-1,1,1,1,-1,N,-1
16,Y,N,Y,56M,8,1,1,N,1,1,1,-1,1,N,1
17,Y,Y,Y,DNA,DNA,1,1,Y,2,2,-1,2,0,N,2
18,Y,N,Y,56A,7,2,1,Y,,-2,-2,2,-2,N,0
19,N,N,Y,56M,<1,1,1,Y,0,0,-1,1,-1,N,0
20,N,N,Y,56M,<1,1,0,N,1,-2,-1,-1,1,N,2
21,Y,N,Y,56M,1,1,1,N,1,-2,-1,0,0,n,0
22,Y,Y,Y,56A,17,2,1,Y,,2,1,2,-1,N,0
23,Y,N,Y,56A,1,1,1,Y,1,0,0,1,1,N,1
24,N,Y,Y,56A,4,2,-1,Y,,0,0,0,0,N,1
25,Y,Y,Y,56A,18,2,0,Y,,-1,0,2,1,N,2
26,Y,Y,Y,56A,10,2,1,Y,,2,2,2,1,N,0
27,N,N,Y,56M,4,1,2,Y,,-2,-2,-1,1,N,1
28,Y,N,Y,56A,4,1,1,Y,,1,1,0,1,N,1
29,Y,N,Y,56A,1,0,0,N,,-1,-1,1,0,N,0
30,N,N,Y,56A,5,2,1,Y,,-1,-1,1,0,N,0
31,Y,N,Y,56M,1,0,-2,Y,,1,0,1,1,N,1
32,N,N,Y,56M,5,2,1,Y,,0,0,1,-1,N,2
33,Y,Y,Y,56A,16,1,-1,Y,,-2,-2,2,0,N,1
34,Y,N,Y,56A,14,1,0,Y,,-2,-2,0,-2,N,1
35,Y,N,Y,DNA,DNA,1,0,N,1,0,-1,1,0,N,0
36,Y,N,Y,56A,9,2,1,Y,,2,2,2,-2,N,1
37,Y,N,N,56M,4.5,0,0,N,0,1,1,1,1,N,0
38,N,Y,N,56M,DNA,-1,-2,N,1,0,-1,1,0,N,0
39,Y,N,Y,DNA,DNA,2,2,Y,,1,-1,0,0,N,0
40,Y,N,Y,DNA,DNA,1,1,Y,,2,0,2,1,N,-1
41,N,N,N,56A,DNA,2,-1,Y,,2,-2,0,1,N,-2
42,N,Y,N,56A,DNA,1,1,Y,,1,0,1,-1,N,-1
43,Y,N,Y,56A,7,1,1,Y,,1,1,0,1,N,0
44,Y,N,Y,56A,9,1,1,Y,,-1,0,-1,0,N,1
45,Y,N,Y,56M,5,2,2,Y,,1,1,0,0,N,1
46,Y,Y,Y,56A,15,1,1,Y,,0,-1,2,1,N,-1
47,Y,N,Y,56A,6,1,2,Y,,1,0,0,-1,N,-1
48,Y,N,Y,56M,4,1,1,Y,,-1,-1,1,-1,N,-1
